point_id,name,lat,lon,zone
p001,Aguachica_Cesar,8.339260162737142, -73.63437940782343,dry
p002,SanMartin_Cesar,8.015648799389739, -73.50587932275617,dry
p003,LaGloria_Cesar,8.613146781111594, -73.78179148606208,dry
p004,Pailitas_Cesar,8.958447389665244, -73.61152611845314,dry
p005,Pelaya_Cesar,8.698352904846004, -73.6451271514483,dry
p006,Valledupar_Cesar,10.462274297837288, -73.43337829572235,dry
p007,LaPaz_Cesar,10.369265278294106, -73.19707948794732,dry
p008,SanDiego_Cesar,10.337725556191199, -73.16856061484471,dry
p009,ElPaso_Cesar,9.668346051590056, -73.75831574808392,dry
p010,Astrea_Cesar,9.509671878271414, -73.97980616558733,dry
p011,Becerril_Cesar,9.71695140256419, -73.34627502747735,dry
p012,LaJaguadeIbirico_Cesar,9.545917644914702, -73.3529184557904,dry
p013,Neiva_Huila,2.951797602644327, -75.22296672197385,dry
p014,Palermo_Huila,2.8697729789181694, -75.42260241087277,dry
p015,Campoalegre_Huila,2.684798713213944, -75.29904896008215,dry
p016,Rivera_Huila,2.76891794763666, -75.27786767355323,dry
p017,Aipe_Huila,3.2287328904305457, -75.23113518598994,dry
p018,Villavieja_Huila,3.2254053151639126, -75.20871841309929,dry
p019,Tello_Huila,3.0587528616357886, -75.12272769245304,dry
p020,Baraya_Huila,3.147359939027979, -75.05011120028252,dry
p021,Yaguara_Huila,2.6850343498390874, -75.5287296562652,dry
p022,Espinal_Tolima,4.154251904131456, -74.92839142787697,dry
p023,Guamo_Tolima,4.009556633898076, -74.95890486330899,dry
p024,Saldana_Tolima,3.9295748828814134, -75.01996290244172,dry
p025,Coyaima_Tolima,3.8143371424760932, -75.20036189642346,dry
p026,Natagaima_Tolima,3.625851074635644, -75.10844455889251,dry
p027,Purificacion_Tolima,3.8656301262239756, -74.9510282785457,dry
p028,Prado_Tolima,3.760885046915149, -74.9242961167582,dry
p029,Ortega_Tolima,3.9366977940803367, -75.22900645780238,dry
p030,Ambalema_Tolima,4.780940848398977, -74.77034332612641,dry
p031,SanVicenteChucuri_Santander,6.882292184023837, -73.39359809444387,intermediate
p032,Rionegro_Santander,7.265354518324545, -73.13673384026448,intermediate
p033,CarmenChucuri_Santander,6.708865342798243, -73.5009234081936,intermediate
p034,Landazuri_Santander,6.217428052194101, -73.80048766627758,intermediate
p035,Cimitarra_Santander,6.300542927549458, -73.94108743052837,intermediate
p036,ElPlayon_Santander,7.4584221918243045,    -73.222052853104,intermediate
p037,Betulia_Santander,6.885379562132343, -73.30519800071595,intermediate
p038,Zapatoca_Santander,6.813873749231199, -73.27451538968307,intermediate
p039,Galan_Santander,6.644307073857748, -73.28612651753502,intermediate
p040,SabanaTorres_Santander,7.3725889569728285, -73.4908005906602,intermediate
p041,Lebrija_Santander,7.123493222797025, -73.24425061093856,intermediate
p042,Giron_Santander,7.022252907573754, -73.16443201340272,intermediate
p043,Piedecuesta_Santander,6.9680556403617535, -73.022515872416,intermediate
p044,Floridablanca_Santander,7.055108905271852, -73.05923905599222,intermediate
p045,Matanza_Santander,7.300895286716285, -73.00992695161942,intermediate
p046,Suaita_Santander,6.099925317268114, -73.43987125740398,intermediate
p047,Oiba_Santander,6.25906148492558, -73.30326156947689,intermediate
p048,Guadalupe_Santander,6.249967998542575, -73.42000000343181,intermediate
p049,Velez_Santander,6.003598036459053, -73.66776840554114,intermediate
p050,Bolivar_Santander,5.9856145003973875, -73.76706030226842,intermediate
p051,Chipata_Santander,6.060352066921272, -73.6404076991878,intermediate
p052,LaBelleza_Santander,5.859754520353325, -73.95997854576126,intermediate
p053,PuenteNacional_Santander,5.881739590563099, -73.68470996229381,intermediate
p054,Cucuta_NdS,7.891989631532434, -72.57712903022399,intermediate
p055,Tibu_NdS,8.637761890372008, -72.7500743803479,intermediate
p056,ElZulia_NdS,7.932219345869862, -72.61453462914311,intermediate
p057,Sardinata_NdS,8.07008923782977, -72.7960839781713,intermediate
p058,Ocana_NdS,8.20848209204945, -73.35356955810242,intermediate
p059,Abrego_NdS,8.091878034939755, -73.21413015693312,intermediate
p060,Teorama_NdS,8.435574493759018, -73.29248909328464,intermediate
p061,LaPlaya_NdS,8.219816537218886, -73.23998996030639,intermediate
p062,Hacari_NdS,8.32269642575899, -73.14112653112704,intermediate
p063,SanCalixto_NdS,8.400400889303983, -73.21043772995114,intermediate
p064,Arauca_Arauca,7.086798217534231, -70.71200486654767,intermediate
p065,Saravena_Arauca,6.96,-71.88,intermediate
p066,Tame_Arauca,6.955069121268055, -71.88645876269699,intermediate
p067,Fortul_Arauca,6.783586491938776, -71.76777913439952,intermediate
p068,Arauquita_Arauca,7.019603873538278, -71.4311251475689,intermediate
p069,PuertoRondon_Arauca,6.2873264223244085, -71.10095486971514,intermediate
p070,CravoNorte_Arauca,6.296954167974222, -70.18200125667798,intermediate
p071,Turbo_Uraba,8.103112137142446, -76.70718662388096,humid
p072,Apartado_Uraba,7.887106940450758, -76.60589757467511,humid
p073,Chigorodo_Uraba,7.678974897898786, -76.70579850469379,humid
p074,Necocli_Uraba,8.425829899753099, -76.7641385229802,humid
p075,Carepa_Uraba,7.754144310664559, -76.66525225458824,humid
p076,SanPedrodeUraba_Uraba,8.283837064672344, -76.37630474271813,humid
p077,Mutata_Uraba,7.240606362868987, -76.44204451480398,humid
p078,PuertoBerrio_MM,6.498906258147396, -74.41457600412114,humid
p079,Maceo_MM,6.548816864647848, -74.7903862415154,humid
p080,Yondo_MM,7.021253901957893, -73.90655358298609,humid
p081,Barrancabermeja_MM,7.097205005571016, -73.88153938690348,humid
p082,PuertoWilches_MM,7.339242135883938, -73.89935627323669,humid
p083,PuertoBoyaca_MM,5.966629752904735, -74.5954824386697,humid
p084,PuertoNare_MM,6.189648006296408, -74.59003218993888,humid
p085,Caracoli_MM,6.409893375936759, -74.76006437644543,humid
p086,Villavicencio_Meta,4.079889686346049, -73.59740590194991,humid
p087,Acacias_Meta,3.942648062860276, -73.73221110515117,humid
p088,Granada_Meta,3.5380205425429656, -73.72531817934245,humid
p089,SanMartin_Meta,3.682208413796948, -73.70030941997611,humid
p090,Cumaral_Meta,4.249326139336141, -73.46991768392232,humid
p091,Restrepo_Meta,4.262018404263059, -73.55107235953551,humid
p092,CastillaLaNueva_Meta,3.830224798462285, -73.67442100872843,humid
p093,FuenteDeOro_Meta,3.452889008430379, -73.61906659465095,humid
p094,ElCastillo_Meta,3.5598607906863524, -73.79005364761232,humid
p095,Lejanias_Meta,3.5200428308408656, -74.0201716648047,humid
p096,SanJuandeArama_Meta,3.3766939005571968, -73.885750659432,humid
p097,Mesetas_Meta,3.3820135070218407, -74.0342922625459,humid
p098,VistaHermosa_Meta,3.1144292569129726, -73.74398112647604,humid
p099,PuertoLopez_Meta,4.092978403481777, -72.97806861229856,humid
p100,PuertoGaitan_Meta,4.304865439450548, -72.08960581380691,humid
p101,Remedios_Ant,7.037073782291301, -74.53821246567284,humid
p102,Segovia_Ant,7.076799901743516, -74.72391139444036,humid
p103,SanCarlos_Ant,6.177668740182388, -74.97760654153433,humid
p104,SanRoque_Ant,6.483188155478568, -75.01054789883815,humid
p105,Amalfi_Ant,6.899860222278468, -75.08771403636685,humid
p106,Anori_Ant,7.069243890709366, -75.14847003846553,humid
p107,Vegachi_Ant,6.766493456829174, -74.80507997246531,humid
p108,Yali_Ant,6.669818837578603, -74.84003218993786,humid
